,Three Months Ended 2023,Three Months Ended 2022
INVESTMENT INCOME:,,
From non-controlled/non-affiliate company investments:,,
Interest income (excluding payment-in-kind (“PIK”) interest income),367000000.0,242000000.0
PIK interest income,37000000.0,27000000.0
Capital structuring service fees,10000000.0,26000000.0
Dividend income,57000000.0,41000000.0
Other income,16000000.0,10000000.0
Total investment income from non-controlled/non-affiliate company investments,487000000.0,346000000.0
From non-controlled affiliate company investments:,,
Interest income (excluding PIK interest income),3000000.0,1000000.0
PIK interest income,1000000.0,1000000.0
Total investment income from non-controlled affiliate company investments,4000000.0,2000000.0
From controlled affiliate company investments:,,
Interest income (excluding PIK interest income),59000000.0,37000000.0
PIK interest income,3000000.0,2000000.0
Capital structuring service fees,— ,4000000.0
Dividend income,64000000.0,47000000.0
Other income,1000000.0,2000000.0
Total investment income from controlled affiliate company investments,127000000.0,92000000.0
Total investment income,618000000.0,440000000.0
EXPENSES:,,
Interest and credit facility fees,139000000.0,93000000.0
Base management fees,79000000.0,73000000.0
Income based fees,76000000.0,51000000.0
Capital gains incentive fees ,-6000000.0,2000000.0
Administrative fees,3000000.0,4000000.0
Other general and administrative,7000000.0,6000000.0
Total expenses,298000000.0,229000000.0
NET INVESTMENT INCOME BEFORE INCOME TAXES,320000000.0,211000000.0
"Income tax expense, including excise tax",2000000.0,13000000.0
NET INVESTMENT INCOME,318000000.0,198000000.0
"REALIZED AND UNREALIZED GAINS (LOSSES) ON INVESTMENTS, FOREIGN CURRENCY AND OTHER TRANSACTIONS:",,
Net realized gains (losses):,,
Non-controlled/non-affiliate company investments,-20000000.0,50000000.0
Controlled affiliate company investments,— ,19000000.0
Foreign currency and other transactions,-30000000.0,-11000000.0
Net realized (losses) gains,-50000000.0,58000000.0
Net unrealized gains (losses):,,
Non-controlled/non-affiliate company investments,3000000.0,-7000000.0
Non-controlled affiliate company investments,14000000.0,-1000000.0
Controlled affiliate company investments,-32000000.0,-2000000.0
Foreign currency and other transactions,25000000.0,13000000.0
Net unrealized gains,10000000.0,3000000.0
"Net realized and unrealized (losses) gains on investments, foreign currency and other transactions",-40000000.0,61000000.0
REALIZED LOSS ON EXTINGUISHMENT OF DEBT,— ,-48000000.0
NET INCREASE IN STOCKHOLDERS’ EQUITY RESULTING FROM OPERATIONS,278000000.0,211000000.0
NET INCOME PER COMMON SHARE (see Note 10),,
Basic,0.52,0.44
Diluted,0.51,0.43
WEIGHTED AVERAGE SHARES OF COMMON STOCK OUTSTANDING (see Note 10),,
Basic,534000000.0,479000000.0
Diluted,555000000.0,500000000.0
