,Three Months Ended 2023,Three Months Ended 2022
Investment Income,,
"Investment income from non-controlled, non-affiliated investments:",,
Interest income (excluding payment-in-kind (“PIK”) interest income),79360000.0,46499000.0
PIK interest income,12483000.0,6629000.0
Dividend income,4979000.0,2463000.0
Other income,1059000.0,664000.0
"Total investment income from non-controlled, non-affiliated investments",97881000.0,56255000.0
Total Investment Income,97881000.0,56255000.0
Expenses,,
Interest expense,28539000.0,9340000.0
Management fee,4393000.0,3663000.0
Professional fees,1259000.0,999000.0
Directors' fees,196000.0,311000.0
Other general and administrative,731000.0,599000.0
Total Expenses,35118000.0,14912000.0
Net Investment Income (Loss) Before Taxes,62763000.0,41343000.0
Excise tax expense (benefit),1184000.0,413000.0
Net Investment Income (Loss) After Taxes,61579000.0,40930000.0
Net Realized and Change in Unrealized Gain (Loss),,
Net change in unrealized gain (loss):,,
"Non-controlled, non-affiliated investments",23799000.0,-15500000.0
"Non-controlled, affiliated investments",26000.0,— 
Translation of assets and liabilities in foreign currencies,52000.0,-7000.0
Income tax (provision) benefit,-1000.0,— 
Total Net Change in Unrealized Gain (Loss),23876000.0,-15507000.0
Net realized gain (loss):,,
"Non-controlled, non-affiliated investments",-11498000.0,869000.0
Foreign currency transactions,19000.0,15000.0
Total Net Realized Gain (Loss),-11479000.0,884000.0
Total Net Realized and Change in Unrealized Gain (Loss),12397000.0,-14623000.0
Net Increase (Decrease) in Net Assets Resulting from Operations,73976000.0,26307000.0
Earnings (Loss) Per Share - Basic and Diluted,0.61,0.24
Weighted Average Shares Outstanding - Basic and Diluted,121201415.0,111084841.0
