,Three Months Ended 2023,Three Months Ended 2022
Investment Income,,
"Investment income from non-controlled, non-affiliated investments:",,
Interest income,288678000.0,208599000.0
Payment-in-kind interest income,43055000.0,22411000.0
Dividend income,17833000.0,11728000.0
Other income,2964000.0,3848000.0
"Total investment income from non-controlled, non-affiliated investments",352530000.0,246586000.0
"Investment income from controlled, affiliated investments:",,
Interest income,2674000.0,1773000.0
Dividend income,22026000.0,15638000.0
Other Income,392000.0,162000.0
"Total investment income from controlled, affiliated investments",25092000.0,17573000.0
Total Investment Income,377622000.0,264159000.0
Expenses,,
Interest expense,103955000.0,61378000.0
Management fees,48093000.0,47413000.0
Performance based incentive fees,37728000.0,25954000.0
Professional fees,3673000.0,3828000.0
Directors’ fees,258000.0,290000.0
Other general and administrative,2671000.0,2132000.0
Total Operating Expenses,196378000.0,140995000.0
Net Investment Income (Loss) Before Taxes,181244000.0,123164000.0
Income tax expense (benefit),3385000.0,808000.0
Net Investment Income (Loss) After Taxes,177859000.0,122356000.0
Net Realized and Change in Unrealized Gain (Loss),,
Net change in unrealized gain (loss):,,
"Non-controlled, non-affiliated investments",65423000.0,-69948000.0
"Non-controlled, affiliated investments",-1000.0,— 
"Controlled, affiliated investments",10254000.0,-11758000.0
Translation of assets and liabilities in foreign currencies,1210000.0,-481000.0
Income tax (provision) benefit,-281000.0,— 
Total Net Change in Unrealized Gain (Loss),76605000.0,-82187000.0
Net realized gain (loss):,,
"Non-controlled, non-affiliated investments",-52483000.0,4702000.0
Foreign currency transactions,-139000.0,-885000.0
Total Net Realized Gain (Loss),-52622000.0,3817000.0
Total Net Realized and Change in Unrealized Gain (Loss),23983000.0,-78370000.0
Net Increase (Decrease) in Net Assets Resulting from Operations,201842000.0,43986000.0
Earnings Per Share - Basic and Diluted,0.52,0.11
Weighted Average Shares Outstanding - Basic and Diluted,391049102.0,394309578.0
