,Three Months Ended 2023,Three Months Ended 2022
Investment Income,,
"Investment income from non-controlled, non-affiliated investments:",,
Interest income,120797000.0,81292000.0
Payment-in-kind interest income,30133000.0,17178000.0
Dividend income,6339000.0,4344000.0
Other income,1605000.0,875000.0
"Total investment income from non-controlled, non-affiliated investments",158874000.0,103689000.0
"Investment income from non-controlled, affiliated investments:",,
Dividend income,2614000.0,3799000.0
"Total investment income from non-controlled, affiliated investments",2614000.0,3799000.0
Total Investment Income,161488000.0,107488000.0
Expenses,,
Interest expense,48211000.0,27078000.0
Management fees,14612000.0,13986000.0
Incentive fees,10763000.0,-3921000.0
Professional fees,2031000.0,1543000.0
Directors' fees,226000.0,282000.0
Other general and administrative,966000.0,1114000.0
Total Expenses,76809000.0,40082000.0
Net Investment Income (Loss) Before Taxes,84679000.0,67406000.0
"Income tax expense (benefit), including excise tax expense (benefit)",3074000.0,2100000.0
Net Investment Income (Loss) After Taxes,81605000.0,65306000.0
Net Change in Unrealized Gain (Loss),,
"Non-controlled, non-affiliated investments",30865000.0,-127506000.0
"Non-controlled, affiliated investments",-51000.0,24170000.0
"Controlled, affiliated investments",— ,-1542000.0
Translation of assets and liabilities in foreign currencies,14000.0,19000.0
Total Net Change in Unrealized Gain (Loss),30828000.0,-104859000.0
Net Realized Gain (Loss):,,
"Non-controlled, non-affiliated investments",-15503000.0,4224000.0
Foreign currency transactions,-35000.0,42000.0
Total Net Realized Gain (Loss),-15538000.0,4266000.0
Total Net Realized and Change in Unrealized Gain (Loss),15290000.0,-100593000.0
Net Increase (Decrease) in Net Assets Resulting from Operations,96895000.0,-35287000.0
Earnings (Loss) Per Share - Basic and Diluted,0.48,-0.18
Weighted Average Shares Outstanding - Basic and Diluted,203490453.0,200404113.0
